Month,Virginia,California,Alaska,Oregon,Washington,Hawaii,New Jersey,Nevada,New Hampshire,Connecticut,New York,Rhode Island,Maine,Vermont,Arizona,South Dakota,Massachusetts,Michigan,Florida,Illinois,Minnesota,Kansas,Idaho,Wisconsin,Pennsylvania,Missouri,Ohio,Texas,Indiana,Wyoming,North Dakota,District of Columbia,Utah,Delaware,Maryland,Arkansas,Nebraska,Colorado,Oklahoma,Iowa,North Carolina,West Virginia,Montana,Georgia,Kentucky,Louisiana,Mississippi,Tennessee,New Mexico,Alabama,South Carolina
2021-04-01,1,0.66,2.55,0.5,0,0,0.46,0.41,0,0.4,0.76,0,0,0,0.37,0,0.66,0.36,0.34,0.68,0.32,0,0.34,0.68,0.7,0.33,0.66,0.6,0.31,0,0,0,0.3,0.3,0.29,1.16,0,0.56,0.56,0.28,0.56,0.28,0,0.52,0.26,0.25,0,0.25,1.1,0,0
2021-05-01,2,0.66,1.53,0,0.45,0.44,0.92,0.41,0,0,0.38,0,0,0,0,0.36,0.33,0,0.34,0.34,1.28,0,0,1.02,0.7,0.66,0.66,0.3,0.31,0,0,1.2,0.3,0,0.29,0,1.12,0.28,0.28,0,0.28,0,0,0.52,0.26,0.5,0.24,0.25,0,0.44,0.21
2021-06-01,1,1.32,0,0,0.9,0,0.46,0,0,0.4,0.38,0,0,1.08,0.74,0,0.66,0.36,0.68,0.34,0.32,0.68,0.68,0.34,0.35,0.66,0.33,0.6,0,0,0.62,0,0,0,0.29,0,0.28,0.28,0.84,0,0.56,0,0,0.26,0.26,0,0.48,0.25,0.22,0.22,0.21
2021-07-01,1,1.32,0,1,0.9,0.44,0.92,0,0,0.4,0.38,0.76,0,0,0.74,0,0.66,0.36,0.34,0.68,0.32,0.34,0.34,0.34,0.35,0,0.99,0.3,0.31,0,0.31,0,0.3,0.3,0.29,0,0,0.28,0,0,0.56,0,0.54,0.52,0.52,0,0.48,0,0,0.22,0
2021-08-01,2,0.66,0,0.5,0.45,0.44,0.46,0.41,0.78,0.4,0.38,0,0,0,0.37,0,0.66,0.36,0.68,0.68,0.32,0.34,0,0.34,0.7,0,0.66,0.3,0,0.31,0,0,0.6,0.3,0.58,0,0,0,0.28,0.28,0.28,0.84,0,0.26,0,0.25,0,0.75,0.22,0.44,0
2021-09-01,2,0.66,0,1,0.9,0,0.92,0.41,0,0,0.38,0,0,0,0.74,0.72,0.66,0,0.68,0.34,0.32,0.68,0,1.36,0.35,0.33,0.33,0.6,0.31,0,0,0,0.6,0,1.16,0.29,0,0,0,0,0.56,0,0.54,0.26,0,0.25,0.24,0.25,0,0,0
2021-10-01,2,0.66,5.1,0.5,0,0,0.92,0,0,0,0.76,0,0,0,0.74,0,0.66,0.36,0.68,0.34,0,0,0.34,0,0.35,0.33,0.66,0.3,0,0,0,0,0.3,0,0.58,0.29,0,0.56,1.4,0.28,0.56,0,0,0.52,0.26,0,0,0.5,0,0.22,0.21
2021-11-01,1,1.32,0,0,0.9,0.44,0.46,0,0,0.4,0.38,1.9,0,0,0.74,0,0.33,0.36,0.34,0.68,0.32,0,0,0.34,0.7,0.33,0.33,0.3,0.31,0,0,0,0.3,0,0.58,0.58,0,0.28,0.28,0.28,0.84,0,0,0.52,0,0,0.48,0.5,0,0,0
2021-12-01,1,0.66,2.04,0.5,0.9,0,0.46,0,1.17,0.4,0.76,1.14,0.76,1.08,0.37,0,0.33,0.36,0.34,0.68,1.28,0,0,0,0.35,0,0.66,0.3,0.31,0.62,0,0,0.3,0.6,0.29,0,0.56,0.56,0,0,0.28,0,0,0.52,0.52,0.25,0.48,0.25,0,0.22,0
2022-01-01,2,1.32,1.53,0.5,0.9,0.88,0.46,0.41,0,0.4,0.38,1.14,0.76,2.16,0.37,0,0.33,0.36,0.34,0.68,0.32,0.34,0,0.34,1.05,0.99,0.99,0.6,0.31,0,0,0,0.3,0,0.58,0.29,0,0.56,0,0.28,0.28,0,0.81,0.52,0,0.25,0.48,0.25,0,0.22,0.42
2022-02-01,3,1.32,0,0.5,0.9,0.88,0.46,0,0.78,0.4,0.38,0.76,0,0,0.37,0.36,0.99,0,0.34,0.68,1.28,0.34,0.34,0,0.7,0,0.33,0.6,0.62,0,0,0,0.3,0,0.58,0.29,0.56,0.84,0.28,0,0.28,0,0,0.26,0,0.25,0,0,0.22,0.22,0.21
2022-03-01,3,0.66,1.53,1,0.45,0,0.46,0.41,0.78,0,0.38,0,1.14,0,0.37,0,0.99,0.72,0.34,0.68,0.64,0.34,0,0.68,0.7,0,0.66,0.3,0,0,0.31,0,0.3,0.3,0.58,0.29,0,0.28,0,0.56,0.56,0,0,0.26,0.52,0.25,0.24,0.25,0.66,0.22,0.21
2022-04-01,2,0.66,2.55,0.5,0.45,0,0.46,0,0,0.4,0.76,0.38,0.38,0,0.74,0,0.99,0.36,0.34,0.68,0.32,0,0,0,0.35,0.66,0.66,0.6,0.31,0,0,0,0.3,0.3,0.58,0.58,0,0.56,0.56,0.28,0.56,0.56,0,0.26,0.26,0.25,0.24,0.25,0.22,0.44,0
2022-05-01,2,1.32,0,0.5,0.9,1.32,0.92,0.41,0,0.4,0.38,0.76,0,0,0.37,0.36,0.66,0.72,0.68,0.34,0.64,0.34,0,0.34,0.7,0.66,0.99,0.3,0.31,0,0,0,0,0.3,0.58,0.29,0,0.56,1.68,0.56,0.28,0.28,0,0.52,0.26,0,0,0.5,0.22,0.22,0.84
2022-06-01,2,1.32,0,0.5,0.9,0,0.46,0,1.17,0,0.38,0,0.76,1.08,0.37,0,0.66,0.72,0.68,0.34,0.64,0.68,0.34,0.34,1.05,0.66,0.66,0.6,0.31,0.62,0,1.2,0,0,0.58,0,0,0.56,0,0.56,0.28,0.28,0,0.26,0.52,0,0.72,0.5,0,0.22,0.21
2022-07-01,3,1.32,0,0.5,0.9,0,0.92,0,0,0.4,0.76,0.76,0.76,0,0.74,0,0.66,0.36,0.68,0.68,0,0.34,0,0.34,0.7,0.66,0.66,0.6,0.31,0.31,0.31,0,0.3,0,0.29,0.29,0,0.56,0.28,0.28,0.28,0,0.27,0,0.26,0.25,0,0.5,0.22,0.22,0.42
2022-08-01,2,0.66,0,1,0.9,0.88,0.46,0,3.12,0,0.76,0.76,1.14,0,0.74,0.36,0.99,0.36,0.68,1.02,0.96,0,0.34,0.34,0.7,0.33,0.99,0.6,0.31,0,0.31,0,0.3,0.3,0.29,0,0.56,0.28,0.28,0.28,0.28,0,0,0.52,0.78,0.25,0,0.25,0,0.44,0.21
2022-09-01,1,0.66,0,1,0.9,0.88,0.46,0,0.39,0,0.38,0,0,0,0.37,0.36,0.66,0,0.34,0.34,0.32,0.68,0.34,0,0.7,0.33,0.66,0.3,0.31,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0.28,0.54,0.52,0.26,0.25,0,0.75,0,0,0.42
2022-10-01,2,0.66,1.53,0.5,0.45,0.44,0.46,0.41,0,0.8,0.38,0,0,0.72,0.74,0,0.66,0,0.34,0.34,0,0.34,0.34,0,0.7,0.66,0.33,0.3,0,0,0.31,0,0,0,0.29,0,0,0.28,0.28,0,0.28,0.28,0,0.26,0,0,0,0.5,0,0,0.21
2022-11-01,2,1.32,0,0.5,0.45,0,0,0,0,0.4,0.38,0,1.14,1.44,0.74,0.36,0.66,0.36,0.34,0.34,0.32,0,0,0.68,0.7,0.33,0.33,0.3,0.31,0,0,0.9,0.3,0,0.58,0.29,0,0,0.56,0,0.28,0,0,0.26,0.26,0,0,0,0,0.22,0.21
2022-12-01,2,0.66,0,0.5,0.9,0.44,0.46,0.41,1.95,0.4,0.38,0.38,0,0.72,0.74,0,0.66,0,0.34,0.34,0.32,0.34,0,0.34,0.35,0.66,0.99,0.6,0.31,0.93,0,2.4,0.3,0,0.58,0,0,0.28,0,0.28,0.56,0,0.27,0.52,0.52,0,0.24,0.25,0.44,0.22,0.21
2023-01-01,2,0.66,0,0.5,0.45,0,0.46,0.41,0,0.4,0.38,0,0,0,0.74,0,0.99,0.72,0.34,0.34,0.32,0,0.34,0.68,0.7,0.33,0.33,0.3,0.31,0,0,0,0,0,0.29,0.29,0.56,0.28,0.56,0,0.28,0,0,0.26,0.26,0.25,0.48,0,0,0,0
2023-02-01,1,0.66,0,1,0.45,0,0.46,0.41,1.17,0.4,0.38,1.9,0,0,0.37,0,0.33,0.36,0.34,0.34,0.32,0,0,0.68,0.35,0.66,0.66,0.6,0.31,0,0,1.2,0.6,0.6,0.58,0.29,1.4,0.28,0.28,0,0.56,0,0,0.26,0.26,0,0,0.25,0.22,0.44,0.42
2023-03-01,9,5.94,0,5,4.95,0,3.68,2.46,3.12,1.6,3.42,3.42,1.52,1.44,4.44,1.08,4.62,3.24,2.72,4.42,4.16,1.36,1.02,4.08,4.2,4.29,4.62,2.4,1.24,0.62,0.31,1.8,1.5,0.6,2.61,1.45,1.68,3.92,1.96,1.12,2.8,0.84,0.81,2.34,1.56,0.75,0,2.25,0.44,0.88,1.47
